Date,Open
22-Feb-93,3322.18
19-Feb-93,3302.19
18-Feb-93,3312.19
17-Feb-93,3309.49
16-Feb-93,3391.62
12-Feb-93,3422.69
11-Feb-93,3412.42
10-Feb-93,3414.58
9-Feb-93,3437.54
8-Feb-93,3442.14
5-Feb-93,3416.74
4-Feb-93,3373.79
3-Feb-93,3328.67
2-Feb-93,3332.18
1-Feb-93,3310.03
29-Jan-93,3306.25
28-Jan-93,3291.39
27-Jan-93,3298.95
26-Jan-93,3292.20
25-Jan-93,3256.81
22-Jan-93,3253.02
21-Jan-93,3241.95
20-Jan-93,3255.99
19-Jan-93,3274.91
18-Jan-93,3271.12
15-Jan-93,3267.88
14-Jan-93,3263.56
13-Jan-93,3264.64
12-Jan-93,3262.75
11-Jan-93,3251.67
8-Jan-93,3268.96
7-Jan-93,3305.16
6-Jan-93,3307.87
5-Jan-93,3309.22
4-Jan-93,3301.11
31-Dec-92,3321.10
30-Dec-92,3310.84
29-Dec-92,3333.26
28-Dec-92,3326.24
24-Dec-92,3313.54
23-Dec-92,3321.10
22-Dec-92,3312.46
21-Dec-92,3313.27
18-Dec-92,3269.23
17-Dec-92,3255.18
16-Dec-92,3284.36
15-Dec-92,3292.20
14-Dec-92,3304.08
11-Dec-92,3312.19
10-Dec-92,3323.81
9-Dec-92,3322.18
8-Dec-92,3307.33
7-Dec-92,3288.68
4-Dec-92,3276.53
3-Dec-92,3286.25
2-Dec-92,3294.36
1-Dec-92,3305.16
30-Nov-92,3282.20
27-Nov-92,3266.26
25-Nov-92,3248.70
24-Nov-92,3223.04
23-Nov-92,3227.36
20-Nov-92,3209.53
19-Nov-92,3207.37
18-Nov-92,3193.32
17-Nov-92,3205.74
16-Nov-92,3233.03
13-Nov-92,3239.79
12-Nov-92,3240.33
11-Nov-92,3225.47
10-Nov-92,3240.87
9-Nov-92,3240.06
6-Nov-92,3243.84
5-Nov-92,3223.04
4-Nov-92,3252.48
3-Nov-92,3262.21
2-Nov-92,3226.28
30-Oct-92,3246.27
29-Oct-92,3251.40
28-Oct-92,3235.73
27-Oct-92,3244.11
26-Oct-92,3207.64
23-Oct-92,3200.88
22-Oct-92,3187.10
21-Oct-92,3186.02
20-Oct-92,3188.45
19-Oct-92,3174.41
16-Oct-92,3174.68
15-Oct-92,3195.48
14-Oct-92,3201.42
13-Oct-92,3174.41
12-Oct-92,3140.10
9-Oct-92,3176.03
8-Oct-92,3152.25
7-Oct-92,3178.19
6-Oct-92,3179.00
5-Oct-92,3197.10
2-Oct-92,3254.37
1-Oct-92,3271.66
30-Sep-92,3266.80
29-Sep-92,3276.26
28-Sep-92,3250.32
25-Sep-92,3287.87
24-Sep-92,3278.69
23-Sep-92,3280.85
22-Sep-92,3320.83
21-Sep-92,3327.05
18-Sep-92,3315.70
17-Sep-92,3319.21
16-Sep-92,3327.32
15-Sep-92,3372.98
14-Sep-92,3326.51
11-Sep-92,3305.16
10-Sep-92,3271.39
9-Sep-92,3260.59
8-Sep-92,3281.93
4-Sep-92,3292.20
3-Sep-92,3290.31
2-Sep-92,3266.26
1-Sep-92,3257.35
31-Aug-92,3267.61
28-Aug-92,3254.64
27-Aug-92,3246.81
26-Aug-92,3232.22
25-Aug-92,3228.17
24-Aug-92,3254.09
21-Aug-92,3304.89
20-Aug-92,3307.06
19-Aug-92,3329.48
18-Aug-92,3324.89
17-Aug-92,3328.94
14-Aug-92,3313.27
13-Aug-92,3320.83
12-Aug-92,3331.10
11-Aug-92,3337.58
10-Aug-92,3332.18
7-Aug-92,3340.56
6-Aug-92,3365.14
5-Aug-92,3384.32
4-Aug-92,3395.40
3-Aug-92,3393.78
31-Jul-92,3391.89
30-Jul-92,3379.19
29-Jul-92,3345.13
28-Jul-92,3282.20
27-Jul-92,3285.71
24-Jul-92,3290.04
23-Jul-92,3277.61
22-Jul-92,3308.41
21-Jul-92,3303.00
20-Jul-92,3318.38
17-Jul-92,3359.74
16-Jul-92,3345.42
15-Jul-92,3358.39
14-Jul-92,3337.31
13-Jul-92,3330.56
10-Jul-92,3324.08
9-Jul-92,3293.28
8-Jul-92,3295.17
7-Jul-92,3339.21
6-Jul-92,3330.29
2-Jul-92,3354.10
1-Jul-92,3318.52
30-Jun-92,3319.86
29-Jun-92,3282.41
26-Jun-92,3284.01
25-Jun-92,3290.70
24-Jun-92,3285.62
23-Jun-92,3280.80
22-Jun-92,3285.35
19-Jun-92,3274.12
18-Jun-92,3287.76
17-Jun-92,3329.49
16-Jun-92,3354.90
15-Jun-92,3354.36
12-Jun-92,3351.51
11-Jun-92,3343.22
10-Jun-92,3369.92
9-Jun-92,3404.14
8-Jun-92,3398.69
5-Jun-92,3399.73
4-Jun-92,3406.99
3-Jun-92,3396.10
2-Jun-92,3413.21
1-Jun-92,3396.88
29-May-92,3398.43
28-May-92,3370.44
27-May-92,3364.21
26-May-92,3386.77
22-May-92,3378.71
21-May-92,3393.84
20-May-92,3397.99
19-May-92,3376.03
18-May-92,3353.09
15-May-92,3368.88
14-May-92,3391.98
13-May-92,3385.12
12-May-92,3397.58
11-May-92,3369.41
8-May-92,3363.37
7-May-92,3369.41
6-May-92,3359.35
5-May-92,3378.13
4-May-92,3340.79
1-May-92,3359.12
30-Apr-92,3333.18
29-Apr-92,3307.92
28-Apr-92,3304.56
27-Apr-92,3324.46
24-Apr-92,3348.61
23-Apr-92,3338.77
22-Apr-92,3343.25
21-Apr-92,3336.31
20-Apr-92,3366.50
16-Apr-92,3353.76
15-Apr-92,3306.13
14-Apr-92,3269.90
13-Apr-92,3255.37
10-Apr-92,3227.64
9-Apr-92,3181.35
8-Apr-92,3213.55
7-Apr-92,3275.49
6-Apr-92,3249.11
3-Apr-92,3234.12
2-Apr-92,3249.33
1-Apr-92,3235.47
31-Mar-92,3235.24
30-Mar-92,3231.44
27-Mar-92,3267.67
26-Mar-92,3259.39
25-Mar-92,3260.96
24-Mar-92,3272.14
23-Mar-92,3276.39
20-Mar-92,3261.40
19-Mar-92,3254.25
18-Mar-92,3256.04
17-Mar-92,3236.36
16-Mar-92,3235.91
13-Mar-92,3208.63
12-Mar-92,3208.63
11-Mar-92,3230.99
10-Mar-92,3215.12
9-Mar-92,3221.60
6-Mar-92,3241.50
